Step,conv_train,conv_test,ffconv0.1_train,ffconv0.1_test,sfconv0.1_train,sfconv0.1_test
74,0.084103763,0.220629752,0.084304437,0.150728732,0.052644446,0.083638191
75,0.095866933,0.153318793,0.066440463,0.232221007,0.048628673,0.086189777
76,0.094627842,0.155809283,0.072107479,0.134128153,0.049325719,0.073295712
77,0.094270468,0.12461409,0.06652455,0.155307084,0.047109127,0.0830006
78,0.088245958,0.140624851,0.060742661,0.093560398,0.047849372,0.101703018
79,0.07464923,0.12749511,0.059237182,0.103006095,0.047933295,0.103264213
80,0.069342807,0.168752253,0.071037024,0.09242329,0.045380771,0.105949163
81,0.062416852,0.268372327,0.061447993,0.232092232,0.051012173,0.084293962
82,0.071471632,0.863051653,0.064545378,0.109481901,0.047664702,0.077778667
83,0.068354294,0.435473591,0.072728753,0.096630007,0.048616946,0.07819584
84,0.064060554,0.399166346,0.05902952,0.264046609,0.054348528,0.085017294
85,0.066972703,0.159914136,0.062629506,0.148033082,0.046484783,0.13421008
86,0.058171317,0.199472874,0.056699097,0.129695892,0.050018474,0.11650613
87,0.059372962,0.11855647,0.05675447,0.147114336,0.042888731,0.079345733
88,0.065292254,0.131881416,0.048929259,0.211955577,0.044061601,0.080700159
89,0.05948545,0.141366303,0.048650891,0.162756413,0.042364389,0.084906131
90,0.065441594,0.139883906,0.045454204,0.245203376,0.040680215,0.089818209
91,0.063701078,0.115971088,0.04414697,0.103688508,0.041876793,0.078054488
92,0.070988089,0.273018926,0.043032855,0.150182754,0.042799443,0.083087713
93,0.062520593,0.121010631,0.044433847,0.109056741,0.043975964,0.081928521
94,0.064389452,0.1337035,0.040113688,0.175838888,0.042099178,0.070534497
95,0.057928964,0.117495686,0.040646866,0.16486302,0.042472705,0.077358305
96,0.057133809,0.115858406,0.038345039,0.147815436,0.041075721,0.096340179
97,0.050456017,0.111134827,0.038384452,0.123505771,0.037835926,0.079594702
98,0.054419175,0.112912565,0.037916839,0.161369771,0.043830842,0.071245223
99,0.049517676,0.118059367,0.038485557,0.108523101,0.042871743,0.072496504
100,0.052747354,0.12592411,0.039790615,0.088175952,0.039550185,0.070014596
101,0.051364988,0.109294474,0.039914787,0.093546033,0.037911043,0.077899545
102,0.050162986,0.113366008,0.038863182,0.087133229,0.036488727,0.085472524
103,0.048001841,0.122495413,0.046473458,0.120325834,0.038608029,0.06678465
104,0.04712455,0.12288475,0.041420877,0.198121727,0.034739405,0.069249988
105,0.048974231,0.119601965,0.045250237,0.074233234,0.03872785,0.070063084
106,0.053358793,0.276616544,0.043194592,0.129647821,0.035495266,0.080567539
107,0.06167841,0.165826052,0.046713874,0.103943795,0.036281064,0.071647018
108,0.052380949,0.200796008,0.044124097,0.171064734,0.039183065,0.060144365
109,0.059748352,0.168181568,0.054662213,0.102569282,0.037552238,0.071080625
110,0.063886225,0.262133002,0.048876122,0.174220294,0.038607925,0.077101916
111,0.068041682,0.203916162,0.04688707,0.208034277,0.035394654,0.065059841
112,0.062021807,0.127824932,0.051527575,0.160216808,0.035704285,0.072715163
113,0.070355564,0.279100567,0.051171616,0.084431887,0.038297325,0.072421044
114,0.060908079,0.124884307,0.051215947,0.08343941,0.035828978,0.068458676
115,0.058082059,0.257348925,0.040808052,0.122116596,0.035567358,0.072179615
116,0.060435578,0.14176324,0.042029068,0.254008979,0.035647333,0.065845698
117,0.062678799,0.141641349,0.042511985,0.288769633,0.035677314,0.079050839
118,0.0625543,0.261291325,0.042638317,0.453663409,0.03348583,0.071921289
119,0.05485177,0.115144938,0.043923274,0.088017106,0.033679321,0.064503193
120,0.057438001,0.101734698,0.044831723,0.089661866,0.035236821,0.065743566
121,0.054864302,0.133973897,0.041408852,0.117261589,0.032410234,0.077008963
122,0.050801769,0.129414231,0.038751617,0.098307014,0.031768113,0.071641892
123,0.056883618,0.106824994,0.038010269,0.141687155,0.032857999,0.097512692
124,0.04947558,0.245534211,0.03924419,0.139632046,0.034005091,0.104960859
125,0.053650662,0.149998754,0.043118328,0.221718132,0.035272941,0.118233532
126,0.049550101,0.130139679,0.04273054,0.084503531,0.040631503,0.070964783
127,0.047664881,0.172370017,0.051749349,0.092755497,0.04217203,0.076797962
128,0.041991115,0.1124098,0.054112375,0.088097036,0.038491189,0.077999502
